Order_ID,Order_Date,Order_Priority,Ord_id,Ship_Mode,Ship_Date,Ship_id,_merge
20071,2011-09-17,MEDIUM,Ord_124,DELIVERY TRUCK,2011-09-19,SHP_168,both
20160,2011-10-22,LOW,Ord_125,EXPRESS AIR,2011-10-24,SHP_169,both
21383,2009-01-30,LOW,Ord_128,REGULAR AIR,2009-04-02,SHP_174,both
21607,2012-03-15,NOT SPECIFIED,Ord_129,REGULAR AIR,2012-03-17,SHP_175,both
22342,2009-05-29,LOW,Ord_133,REGULAR AIR,2009-05-06,SHP_180,both
22469,2010-11-10,HIGH,Ord_134,REGULAR AIR,2010-10-13,SHP_181,both
22501,2010-05-18,HIGH,Ord_135,EXPRESS AIR,2010-05-19,SHP_182,both
22532,2011-08-02,CRITICAL,Ord_136,REGULAR AIR,2011-08-02,SHP_183,both
23264,2010-07-12,CRITICAL,Ord_137,REGULAR AIR,2010-09-12,SHP_184,both
23584,2012-12-03,CRITICAL,Ord_139,DELIVERY TRUCK,2012-03-14,SHP_186,both
24128,2010-11-23,HIGH,Ord_143,REGULAR AIR,2010-11-25,SHP_192,both
24294,2009-02-08,NOT SPECIFIED,Ord_144,DELIVERY TRUCK,2009-03-08,SHP_193,both
24515,2010-06-05,CRITICAL,Ord_146,DELIVERY TRUCK,2010-08-05,SHP_196,both
24871,2011-03-23,MEDIUM,Ord_148,REGULAR AIR,2011-03-24,SHP_199,both
25377,2012-11-26,LOW,Ord_150,DELIVERY TRUCK,2012-03-12,SHP_201,both
25733,2012-12-05,LOW,Ord_152,REGULAR AIR,2012-05-17,SHP_204,both
26023,2010-08-20,HIGH,Ord_154,REGULAR AIR,2010-08-21,SHP_207,both
26116,2012-10-29,CRITICAL,Ord_156,REGULAR AIR,2012-10-30,SHP_210,both
26272,2012-06-29,LOW,Ord_158,EXPRESS AIR,2012-08-07,SHP_212,both
26499,2010-02-21,MEDIUM,Ord_160,REGULAR AIR,2010-02-22,SHP_215,both
26531,2011-06-20,MEDIUM,Ord_161,REGULAR AIR,2011-06-22,SHP_216,both
26854,2009-06-21,NOT SPECIFIED,Ord_163,REGULAR AIR,2009-06-22,SHP_220,both
27109,2012-08-02,CRITICAL,Ord_164,REGULAR AIR,2012-10-02,SHP_221,both
27264,2011-04-06,LOW,Ord_166,REGULAR AIR,2011-06-06,SHP_225,both
27392,2012-02-03,LOW,Ord_167,REGULAR AIR,2012-11-03,SHP_226,both
27555,2009-01-09,CRITICAL,Ord_169,REGULAR AIR,2009-03-09,SHP_229,both
27680,2010-01-26,CRITICAL,Ord_170,REGULAR AIR,2010-01-27,SHP_230,both
28003,2011-03-19,CRITICAL,Ord_173,REGULAR AIR,2011-03-21,SHP_235,both
28035,2011-08-05,NOT SPECIFIED,Ord_174,REGULAR AIR,2011-10-05,SHP_236,both
28165,2012-09-07,NOT SPECIFIED,Ord_176,REGULAR AIR,2012-11-07,SHP_239,both
28289,2010-01-14,HIGH,Ord_177,REGULAR AIR,2010-01-15,SHP_240,both
28486,2009-08-26,HIGH,Ord_178,REGULAR AIR,2009-08-27,SHP_241,both
28675,2009-08-10,CRITICAL,Ord_179,REGULAR AIR,2009-09-10,SHP_242,both
28871,2012-04-15,HIGH,Ord_181,REGULAR AIR,2012-04-15,SHP_244,both
29030,2012-02-01,MEDIUM,Ord_182,REGULAR AIR,2012-03-01,SHP_245,both
29095,2011-08-03,NOT SPECIFIED,Ord_183,REGULAR AIR,2011-09-03,SHP_246,both
29510,2011-04-15,CRITICAL,Ord_185,DELIVERY TRUCK,2011-04-17,SHP_249,both
29861,2012-04-25,CRITICAL,Ord_187,REGULAR AIR,2012-04-26,SHP_252,both
30947,2010-07-14,LOW,Ord_189,REGULAR AIR,2010-07-18,SHP_255,both
31077,2010-10-23,NOT SPECIFIED,Ord_190,REGULAR AIR,2010-10-25,SHP_256,both
31111,2009-08-24,NOT SPECIFIED,Ord_191,REGULAR AIR,2009-08-26,SHP_257,both
31169,2011-09-06,LOW,Ord_192,REGULAR AIR,2011-06-13,SHP_258,both
31364,2009-01-05,NOT SPECIFIED,Ord_194,REGULAR AIR,2009-01-05,SHP_262,both
31618,2011-11-07,CRITICAL,Ord_198,REGULAR AIR,2011-11-07,SHP_270,both
31781,2009-01-16,MEDIUM,Ord_200,REGULAR AIR,2009-01-17,SHP_273,both
32743,2010-07-05,CRITICAL,Ord_203,REGULAR AIR,2010-09-05,SHP_278,both
33123,2010-11-24,MEDIUM,Ord_205,DELIVERY TRUCK,2010-11-26,SHP_280,both
33159,2012-04-27,MEDIUM,Ord_206,REGULAR AIR,2012-04-29,SHP_281,both
33186,2012-08-28,LOW,Ord_207,REGULAR AIR,2012-08-30,SHP_282,both
33734,2011-10-17,NOT SPECIFIED,Ord_211,REGULAR AIR,2011-10-18,SHP_289,both
33922,2010-02-27,NOT SPECIFIED,Ord_214,DELIVERY TRUCK,2010-02-27,SHP_297,both
34215,2011-05-14,HIGH,Ord_216,REGULAR AIR,2011-05-15,SHP_300,both
35047,2010-09-06,MEDIUM,Ord_219,REGULAR AIR,2010-11-06,SHP_305,both
35847,2009-01-30,CRITICAL,Ord_221,EXPRESS AIR,2009-01-30,SHP_308,both
36134,2010-11-22,LOW,Ord_223,REGULAR AIR,2010-11-22,SHP_311,both
36135,2011-05-30,NOT SPECIFIED,Ord_224,REGULAR AIR,2011-05-31,SHP_312,both
36644,2012-05-13,HIGH,Ord_225,REGULAR AIR,2012-05-14,SHP_313,both
36646,2010-08-06,MEDIUM,Ord_226,EXPRESS AIR,2010-09-06,SHP_314,both
36707,2009-11-29,MEDIUM,Ord_227,REGULAR AIR,2009-11-30,SHP_315,both
37253,2012-01-09,HIGH,Ord_228,REGULAR AIR,2012-01-09,SHP_316,both
37634,2012-05-21,MEDIUM,Ord_230,REGULAR AIR,2012-05-22,SHP_319,both
37793,2009-08-11,NOT SPECIFIED,Ord_231,REGULAR AIR,2009-09-11,SHP_320,both
37860,2010-08-27,MEDIUM,Ord_232,REGULAR AIR,2010-08-29,SHP_321,both
39457,2011-02-06,CRITICAL,Ord_235,DELIVERY TRUCK,2011-02-06,SHP_326,both
40036,2010-07-06,NOT SPECIFIED,Ord_238,REGULAR AIR,2010-08-06,SHP_331,both
40067,2012-02-17,LOW,Ord_239,REGULAR AIR,2012-02-19,SHP_332,both
40160,2009-10-15,CRITICAL,Ord_241,REGULAR AIR,2009-10-16,SHP_335,both
40518,2009-03-13,CRITICAL,Ord_242,REGULAR AIR,2009-03-14,SHP_336,both
40804,2010-12-03,MEDIUM,Ord_243,DELIVERY TRUCK,2010-03-14,SHP_337,both
40902,2009-07-07,LOW,Ord_244,REGULAR AIR,2009-09-07,SHP_338,both
41153,2009-02-03,MEDIUM,Ord_246,REGULAR AIR,2009-03-03,SHP_341,both
41184,2011-09-22,HIGH,Ord_247,REGULAR AIR,2011-09-24,SHP_342,both
41409,2011-07-21,NOT SPECIFIED,Ord_248,REGULAR AIR,2011-07-23,SHP_343,both
41696,2009-07-13,NOT SPECIFIED,Ord_249,EXPRESS AIR,2009-07-15,SHP_344,both
42561,2010-06-02,LOW,Ord_251,EXPRESS AIR,2010-08-02,SHP_347,both
42564,2012-12-09,LOW,Ord_252,DELIVERY TRUCK,2012-09-19,SHP_348,both
42695,2010-12-22,NOT SPECIFIED,Ord_253,REGULAR AIR,2010-12-24,SHP_349,both
42981,2009-05-30,CRITICAL,Ord_254,REGULAR AIR,2009-01-06,SHP_350,both
43109,2012-12-21,CRITICAL,Ord_255,REGULAR AIR,2012-12-22,SHP_351,both
43203,2012-02-14,NOT SPECIFIED,Ord_256,REGULAR AIR,2012-02-16,SHP_352,both
43236,2010-03-07,NOT SPECIFIED,Ord_257,REGULAR AIR,2010-05-07,SHP_353,both
43267,2011-05-16,CRITICAL,Ord_258,EXPRESS AIR,2011-05-18,SHP_354,both
43329,2010-07-03,MEDIUM,Ord_259,REGULAR AIR,2010-10-03,SHP_355,both
43330,2009-04-27,NOT SPECIFIED,Ord_260,REGULAR AIR,2009-04-28,SHP_356,both
43364,2012-07-04,HIGH,Ord_261,REGULAR AIR,2012-10-04,SHP_357,both
43392,2010-12-31,MEDIUM,Ord_262,REGULAR AIR,2011-02-01,SHP_358,both
44071,2012-04-15,NOT SPECIFIED,Ord_264,REGULAR AIR,2012-04-16,SHP_361,both
44708,2009-07-27,NOT SPECIFIED,Ord_266,REGULAR AIR,2009-07-28,SHP_364,both
44772,2009-03-31,NOT SPECIFIED,Ord_267,EXPRESS AIR,2009-02-04,SHP_365,both
44839,2012-11-06,CRITICAL,Ord_268,EXPRESS AIR,2012-06-13,SHP_366,both
45217,2010-01-09,NOT SPECIFIED,Ord_269,REGULAR AIR,2010-02-09,SHP_367,both
45440,2012-09-08,CRITICAL,Ord_270,DELIVERY TRUCK,2012-11-08,SHP_368,both
45861,2011-08-25,MEDIUM,Ord_272,REGULAR AIR,2011-08-25,SHP_371,both
45957,2010-09-21,CRITICAL,Ord_273,REGULAR AIR,2010-09-23,SHP_372,both
46912,2012-06-30,LOW,Ord_274,REGULAR AIR,2012-06-30,SHP_373,both
46980,2011-01-17,CRITICAL,Ord_275,REGULAR AIR,2011-01-17,SHP_374,both
47460,2010-10-10,CRITICAL,Ord_276,REGULAR AIR,2010-12-10,SHP_375,both
47462,2011-09-06,HIGH,Ord_277,REGULAR AIR,2011-11-06,SHP_376,both
47620,2012-06-26,LOW,Ord_278,REGULAR AIR,2012-05-07,SHP_377,both
47749,2010-03-16,MEDIUM,Ord_279,REGULAR AIR,2010-03-16,SHP_378,both
47873,2010-11-13,CRITICAL,Ord_280,REGULAR AIR,2010-11-15,SHP_379,both
48101,2011-12-09,HIGH,Ord_282,REGULAR AIR,2011-09-14,SHP_382,both
48295,2009-11-23,MEDIUM,Ord_283,REGULAR AIR,2009-11-25,SHP_383,both
48839,2010-10-07,CRITICAL,Ord_284,REGULAR AIR,2010-12-07,SHP_384,both
49154,2009-06-03,MEDIUM,Ord_285,REGULAR AIR,2009-07-03,SHP_385,both
49952,2011-11-19,HIGH,Ord_287,EXPRESS AIR,2011-11-20,SHP_388,both
50117,2011-03-06,CRITICAL,Ord_288,REGULAR AIR,2011-05-06,SHP_389,both
50374,2009-05-30,NOT SPECIFIED,Ord_290,REGULAR AIR,2009-05-31,SHP_392,both
50565,2012-08-30,HIGH,Ord_291,REGULAR AIR,2012-08-30,SHP_393,both
50688,2011-12-16,CRITICAL,Ord_292,REGULAR AIR,2011-12-17,SHP_394,both
50754,2009-09-12,NOT SPECIFIED,Ord_293,REGULAR AIR,2009-10-12,SHP_395,both
50914,2012-03-07,CRITICAL,Ord_294,REGULAR AIR,2012-03-07,SHP_396,both
51169,2010-12-24,HIGH,Ord_295,REGULAR AIR,2010-12-26,SHP_397,both
51938,2011-05-17,LOW,Ord_296,REGULAR AIR,2011-05-21,SHP_398,both
51970,2012-11-01,NOT SPECIFIED,Ord_297,DELIVERY TRUCK,2012-01-13,SHP_399,both
51971,2011-03-10,NOT SPECIFIED,Ord_298,REGULAR AIR,2011-05-10,SHP_400,both
52386,2009-05-01,HIGH,Ord_301,DELIVERY TRUCK,2009-07-01,SHP_405,both
52807,2010-11-25,MEDIUM,Ord_302,REGULAR AIR,2010-11-27,SHP_406,both
52964,2010-03-31,CRITICAL,Ord_304,REGULAR AIR,2010-01-04,SHP_409,both
53156,2012-10-03,NOT SPECIFIED,Ord_305,REGULAR AIR,2012-11-03,SHP_410,both
53797,2009-01-10,CRITICAL,Ord_307,DELIVERY TRUCK,2009-01-10,SHP_413,both
53990,2012-01-11,NOT SPECIFIED,Ord_308,REGULAR AIR,2012-02-11,SHP_414,both
54083,2011-07-21,HIGH,Ord_309,DELIVERY TRUCK,2011-07-23,SHP_415,both
54274,2010-11-23,NOT SPECIFIED,Ord_310,REGULAR AIR,2010-11-25,SHP_416,both
54276,2010-06-02,NOT SPECIFIED,Ord_311,REGULAR AIR,2010-07-02,SHP_417,both
54567,2009-02-08,MEDIUM,Ord_313,REGULAR AIR,2009-04-08,SHP_419,both
54628,2010-05-06,HIGH,Ord_314,REGULAR AIR,2010-06-06,SHP_420,both
55298,2009-02-08,CRITICAL,Ord_315,DELIVERY TRUCK,2009-03-08,SHP_421,both
55363,2010-12-28,HIGH,Ord_316,REGULAR AIR,2010-12-30,SHP_422,both
55366,2012-10-10,CRITICAL,Ord_317,REGULAR AIR,2012-11-10,SHP_423,both
55715,2011-02-04,CRITICAL,Ord_318,EXPRESS AIR,2011-04-04,SHP_424,both
56453,2012-11-04,CRITICAL,Ord_320,DELIVERY TRUCK,2012-12-04,SHP_427,both
57127,2010-02-16,LOW,Ord_321,REGULAR AIR,2010-02-18,SHP_428,both
57344,2010-09-24,HIGH,Ord_322,REGULAR AIR,2010-09-26,SHP_429,both
57600,2012-11-11,CRITICAL,Ord_324,REGULAR AIR,2012-11-13,SHP_432,both
58055,2011-10-27,CRITICAL,Ord_325,REGULAR AIR,2011-10-29,SHP_433,both
58144,2009-12-16,LOW,Ord_326,REGULAR AIR,2009-12-23,SHP_434,both
58150,2010-07-05,CRITICAL,Ord_327,REGULAR AIR,2010-07-05,SHP_435,both
58340,2011-08-01,MEDIUM,Ord_328,REGULAR AIR,2011-09-01,SHP_436,both
58434,2009-09-03,HIGH,Ord_330,REGULAR AIR,2009-10-03,SHP_440,both
58688,2009-03-29,NOT SPECIFIED,Ord_332,REGULAR AIR,2009-03-31,SHP_444,both
59045,2011-02-13,CRITICAL,Ord_333,REGULAR AIR,2011-02-15,SHP_445,both
59395,2012-04-22,CRITICAL,Ord_338,EXPRESS AIR,2012-04-24,SHP_453,both
59558,2012-07-16,NOT SPECIFIED,Ord_339,REGULAR AIR,2012-07-19,SHP_454,both
59585,2012-09-22,HIGH,Ord_340,REGULAR AIR,2012-09-23,SHP_455,both
59651,2010-05-20,CRITICAL,Ord_341,REGULAR AIR,2010-05-22,SHP_456,both
645,2009-02-12,HIGH,Ord_342,REGULAR AIR,2009-04-12,SHP_457,both
769,2010-01-06,MEDIUM,Ord_343,DELIVERY TRUCK,2010-02-06,SHP_458,both
773,2010-09-25,MEDIUM,Ord_344,REGULAR AIR,2010-09-26,SHP_459,both
1187,2012-11-19,MEDIUM,Ord_345,REGULAR AIR,2012-11-20,SHP_460,both
2339,2010-12-14,LOW,Ord_346,REGULAR AIR,2010-12-16,SHP_461,both
3521,2012-10-25,LOW,Ord_347,REGULAR AIR,2012-10-27,SHP_462,both
4007,2010-06-17,HIGH,Ord_348,REGULAR AIR,2010-06-18,SHP_463,both
4416,2012-06-29,LOW,Ord_349,REGULAR AIR,2012-03-07,SHP_464,both
4454,2009-01-02,LOW,Ord_350,REGULAR AIR,2009-06-02,SHP_465,both
5153,2011-08-25,CRITICAL,Ord_351,EXPRESS AIR,2011-08-27,SHP_466,both
5446,2009-06-20,LOW,Ord_352,REGULAR AIR,2009-06-27,SHP_467,both
8131,2010-03-05,CRITICAL,Ord_353,REGULAR AIR,2010-03-05,SHP_468,both
8994,2009-07-04,LOW,Ord_354,REGULAR AIR,2009-09-04,SHP_469,both
9027,2011-02-09,LOW,Ord_355,REGULAR AIR,2011-11-09,SHP_470,both
9216,2011-04-14,MEDIUM,Ord_356,DELIVERY TRUCK,2011-04-16,SHP_471,both
9574,2011-07-30,MEDIUM,Ord_358,REGULAR AIR,2011-07-31,SHP_474,both
11968,2011-03-16,LOW,Ord_364,REGULAR AIR,2011-03-16,SHP_485,both
12293,2011-06-18,HIGH,Ord_365,REGULAR AIR,2011-06-19,SHP_486,both
13927,2009-08-26,LOW,Ord_370,EXPRESS AIR,2009-02-09,SHP_496,both
15044,2012-06-03,LOW,Ord_371,REGULAR AIR,2012-10-03,SHP_497,both
15463,2010-07-24,LOW,Ord_373,EXPRESS AIR,2010-07-26,SHP_500,both
16100,2011-07-03,MEDIUM,Ord_375,REGULAR AIR,2011-08-03,SHP_503,both
16320,2011-10-20,NOT SPECIFIED,Ord_376,REGULAR AIR,2011-10-22,SHP_504,both
16419,2009-04-08,NOT SPECIFIED,Ord_377,REGULAR AIR,2009-05-08,SHP_505,both
17315,2009-04-22,LOW,Ord_379,REGULAR AIR,2009-04-26,SHP_508,both
17376,2011-04-12,HIGH,Ord_380,REGULAR AIR,2011-06-12,SHP_509,both
18210,2010-06-08,NOT SPECIFIED,Ord_381,REGULAR AIR,2010-07-08,SHP_510,both
18273,2011-09-15,LOW,Ord_382,REGULAR AIR,2011-09-17,SHP_511,both
18788,2009-02-10,NOT SPECIFIED,Ord_383,REGULAR AIR,2009-03-10,SHP_512,both
19042,2009-01-03,CRITICAL,Ord_384,REGULAR AIR,2009-02-03,SHP_513,both
19365,2011-01-16,MEDIUM,Ord_386,REGULAR AIR,2011-01-17,SHP_516,both
20033,2010-05-21,CRITICAL,Ord_388,REGULAR AIR,2010-05-23,SHP_519,both
22656,2010-12-22,NOT SPECIFIED,Ord_392,EXPRESS AIR,2010-12-24,SHP_526,both
22695,2009-03-07,LOW,Ord_393,REGULAR AIR,2009-08-07,SHP_527,both
23076,2009-05-27,CRITICAL,Ord_394,REGULAR AIR,2009-05-28,SHP_528,both
24388,2011-01-26,CRITICAL,Ord_396,DELIVERY TRUCK,2011-01-27,SHP_532,both
24451,2012-03-12,CRITICAL,Ord_397,DELIVERY TRUCK,2012-04-12,SHP_533,both
24806,2010-06-09,NOT SPECIFIED,Ord_398,REGULAR AIR,2010-08-09,SHP_534,both
25154,2010-08-20,HIGH,Ord_400,REGULAR AIR,2010-08-21,SHP_537,both
25376,2011-03-26,CRITICAL,Ord_402,REGULAR AIR,2011-03-27,SHP_541,both
26791,2011-04-29,LOW,Ord_404,REGULAR AIR,2011-06-05,SHP_544,both
28995,2010-12-05,HIGH,Ord_406,REGULAR AIR,2010-05-13,SHP_547,both
29121,2010-11-04,MEDIUM,Ord_407,REGULAR AIR,2010-04-13,SHP_548,both
29445,2010-09-29,HIGH,Ord_410,DELIVERY TRUCK,2010-01-10,SHP_553,both
30048,2011-06-13,MEDIUM,Ord_412,DELIVERY TRUCK,2011-06-15,SHP_555,both
30243,2010-05-05,CRITICAL,Ord_413,REGULAR AIR,2010-07-05,SHP_556,both
30372,2010-08-30,HIGH,Ord_414,REGULAR AIR,2010-01-09,SHP_557,both
30499,2012-10-30,HIGH,Ord_415,REGULAR AIR,2012-01-11,SHP_558,both
32327,2012-07-08,LOW,Ord_417,DELIVERY TRUCK,2012-08-14,SHP_561,both
32676,2009-01-02,CRITICAL,Ord_418,REGULAR AIR,2009-04-02,SHP_562,both
32835,2012-07-07,MEDIUM,Ord_419,REGULAR AIR,2012-09-07,SHP_563,both
32869,2009-03-27,MEDIUM,Ord_420,REGULAR AIR,2009-03-28,SHP_564,both
33763,2010-09-23,NOT SPECIFIED,Ord_421,REGULAR AIR,2010-09-25,SHP_565,both
34048,2011-03-28,LOW,Ord_422,REGULAR AIR,2011-03-30,SHP_566,both
34438,2010-11-12,HIGH,Ord_424,REGULAR AIR,2010-12-12,SHP_568,both
34880,2009-09-16,HIGH,Ord_425,REGULAR AIR,2009-09-17,SHP_569,both
34978,2011-04-02,HIGH,Ord_426,REGULAR AIR,2011-06-02,SHP_570,both
35141,2010-11-09,MEDIUM,Ord_427,REGULAR AIR,2010-12-09,SHP_571,both
35558,2009-09-15,CRITICAL,Ord_429,REGULAR AIR,2009-09-17,SHP_574,both
36516,2011-07-25,MEDIUM,Ord_431,REGULAR AIR,2011-07-28,SHP_577,both
36677,2009-12-23,LOW,Ord_432,REGULAR AIR,2009-12-25,SHP_578,both
37185,2012-10-31,HIGH,Ord_433,REGULAR AIR,2012-01-11,SHP_579,both
