Order_ID,Ship_Mode,Ship_Date,Ship_id
28675,REGULAR AIR,2009-09-10,SHP_242
28871,REGULAR AIR,2012-04-15,SHP_244
29030,REGULAR AIR,2012-03-01,SHP_245
29095,REGULAR AIR,2011-09-03,SHP_246
29510,DELIVERY TRUCK,2011-04-17,SHP_249
29861,REGULAR AIR,2012-04-26,SHP_252
30947,REGULAR AIR,2010-07-18,SHP_255
31077,REGULAR AIR,2010-10-25,SHP_256
31111,REGULAR AIR,2009-08-26,SHP_257
31169,REGULAR AIR,2011-06-13,SHP_258
31364,REGULAR AIR,2009-01-05,SHP_262
31618,REGULAR AIR,2011-11-07,SHP_270
31781,REGULAR AIR,2009-01-17,SHP_273
32743,REGULAR AIR,2010-09-05,SHP_278
33123,DELIVERY TRUCK,2010-11-26,SHP_280
33159,REGULAR AIR,2012-04-29,SHP_281
33186,REGULAR AIR,2012-08-30,SHP_282
33734,REGULAR AIR,2011-10-18,SHP_289
33922,DELIVERY TRUCK,2010-02-27,SHP_297
34215,REGULAR AIR,2011-05-15,SHP_300
35047,REGULAR AIR,2010-11-06,SHP_305
35847,EXPRESS AIR,2009-01-30,SHP_308
36134,REGULAR AIR,2010-11-22,SHP_311
36135,REGULAR AIR,2011-05-31,SHP_312
36644,REGULAR AIR,2012-05-14,SHP_313
36646,EXPRESS AIR,2010-09-06,SHP_314
36707,REGULAR AIR,2009-11-30,SHP_315
37253,REGULAR AIR,2012-01-09,SHP_316
37634,REGULAR AIR,2012-05-22,SHP_319
37793,REGULAR AIR,2009-09-11,SHP_320
37860,REGULAR AIR,2010-08-29,SHP_321
39457,DELIVERY TRUCK,2011-02-06,SHP_326
40036,REGULAR AIR,2010-08-06,SHP_331
40067,REGULAR AIR,2012-02-19,SHP_332
40160,REGULAR AIR,2009-10-16,SHP_335
40518,REGULAR AIR,2009-03-14,SHP_336
40804,DELIVERY TRUCK,2010-03-14,SHP_337
40902,REGULAR AIR,2009-09-07,SHP_338
41153,REGULAR AIR,2009-03-03,SHP_341
41184,REGULAR AIR,2011-09-24,SHP_342
41409,REGULAR AIR,2011-07-23,SHP_343
41696,EXPRESS AIR,2009-07-15,SHP_344
42561,EXPRESS AIR,2010-08-02,SHP_347
42564,DELIVERY TRUCK,2012-09-19,SHP_348
42695,REGULAR AIR,2010-12-24,SHP_349
42981,REGULAR AIR,2009-01-06,SHP_350
43109,REGULAR AIR,2012-12-22,SHP_351
43203,REGULAR AIR,2012-02-16,SHP_352
43236,REGULAR AIR,2010-05-07,SHP_353
43267,EXPRESS AIR,2011-05-18,SHP_354
43329,REGULAR AIR,2010-10-03,SHP_355
43330,REGULAR AIR,2009-04-28,SHP_356
43364,REGULAR AIR,2012-10-04,SHP_357
43392,REGULAR AIR,2011-02-01,SHP_358
44071,REGULAR AIR,2012-04-16,SHP_361
44708,REGULAR AIR,2009-07-28,SHP_364
44772,EXPRESS AIR,2009-02-04,SHP_365
44839,EXPRESS AIR,2012-06-13,SHP_366
45217,REGULAR AIR,2010-02-09,SHP_367
45440,DELIVERY TRUCK,2012-11-08,SHP_368
45861,REGULAR AIR,2011-08-25,SHP_371
45957,REGULAR AIR,2010-09-23,SHP_372
46912,REGULAR AIR,2012-06-30,SHP_373
46980,REGULAR AIR,2011-01-17,SHP_374
47460,REGULAR AIR,2010-12-10,SHP_375
47462,REGULAR AIR,2011-11-06,SHP_376
47620,REGULAR AIR,2012-05-07,SHP_377
47749,REGULAR AIR,2010-03-16,SHP_378
47873,REGULAR AIR,2010-11-15,SHP_379
48101,REGULAR AIR,2011-09-14,SHP_382
48295,REGULAR AIR,2009-11-25,SHP_383
48839,REGULAR AIR,2010-12-07,SHP_384
49154,REGULAR AIR,2009-07-03,SHP_385
49952,EXPRESS AIR,2011-11-20,SHP_388
50117,REGULAR AIR,2011-05-06,SHP_389
50374,REGULAR AIR,2009-05-31,SHP_392
50565,REGULAR AIR,2012-08-30,SHP_393
50688,REGULAR AIR,2011-12-17,SHP_394
50754,REGULAR AIR,2009-10-12,SHP_395
50914,REGULAR AIR,2012-03-07,SHP_396
51169,REGULAR AIR,2010-12-26,SHP_397
51938,REGULAR AIR,2011-05-21,SHP_398
51970,DELIVERY TRUCK,2012-01-13,SHP_399
51971,REGULAR AIR,2011-05-10,SHP_400
52386,DELIVERY TRUCK,2009-07-01,SHP_405
52807,REGULAR AIR,2010-11-27,SHP_406
52964,REGULAR AIR,2010-01-04,SHP_409
53156,REGULAR AIR,2012-11-03,SHP_410
53797,DELIVERY TRUCK,2009-01-10,SHP_413
53990,REGULAR AIR,2012-02-11,SHP_414
54083,DELIVERY TRUCK,2011-07-23,SHP_415
54274,REGULAR AIR,2010-11-25,SHP_416
54276,REGULAR AIR,2010-07-02,SHP_417
54567,REGULAR AIR,2009-04-08,SHP_419
54628,REGULAR AIR,2010-06-06,SHP_420
55298,DELIVERY TRUCK,2009-03-08,SHP_421
55363,REGULAR AIR,2010-12-30,SHP_422
55366,REGULAR AIR,2012-11-10,SHP_423
55715,EXPRESS AIR,2011-04-04,SHP_424
56453,DELIVERY TRUCK,2012-12-04,SHP_427
57127,REGULAR AIR,2010-02-18,SHP_428
57344,REGULAR AIR,2010-09-26,SHP_429
57600,REGULAR AIR,2012-11-13,SHP_432
58055,REGULAR AIR,2011-10-29,SHP_433
58144,REGULAR AIR,2009-12-23,SHP_434
58150,REGULAR AIR,2010-07-05,SHP_435
58340,REGULAR AIR,2011-09-01,SHP_436
58434,REGULAR AIR,2009-10-03,SHP_440
58688,REGULAR AIR,2009-03-31,SHP_444
59045,REGULAR AIR,2011-02-15,SHP_445
59395,EXPRESS AIR,2012-04-24,SHP_453
59558,REGULAR AIR,2012-07-19,SHP_454
59585,REGULAR AIR,2012-09-23,SHP_455
59651,REGULAR AIR,2010-05-22,SHP_456
645,REGULAR AIR,2009-04-12,SHP_457
769,DELIVERY TRUCK,2010-02-06,SHP_458
773,REGULAR AIR,2010-09-26,SHP_459
1187,REGULAR AIR,2012-11-20,SHP_460
2339,REGULAR AIR,2010-12-16,SHP_461
3521,REGULAR AIR,2012-10-27,SHP_462
4007,REGULAR AIR,2010-06-18,SHP_463
4416,REGULAR AIR,2012-03-07,SHP_464
4454,REGULAR AIR,2009-06-02,SHP_465
5153,EXPRESS AIR,2011-08-27,SHP_466
5446,REGULAR AIR,2009-06-27,SHP_467
8131,REGULAR AIR,2010-03-05,SHP_468
8994,REGULAR AIR,2009-09-04,SHP_469
9027,REGULAR AIR,2011-11-09,SHP_470
9216,DELIVERY TRUCK,2011-04-16,SHP_471
9574,REGULAR AIR,2011-07-31,SHP_474
11968,REGULAR AIR,2011-03-16,SHP_485
12293,REGULAR AIR,2011-06-19,SHP_486
13927,EXPRESS AIR,2009-02-09,SHP_496
15044,REGULAR AIR,2012-10-03,SHP_497
15463,EXPRESS AIR,2010-07-26,SHP_500
16100,REGULAR AIR,2011-08-03,SHP_503
16320,REGULAR AIR,2011-10-22,SHP_504
16419,REGULAR AIR,2009-05-08,SHP_505
17315,REGULAR AIR,2009-04-26,SHP_508
17376,REGULAR AIR,2011-06-12,SHP_509
18210,REGULAR AIR,2010-07-08,SHP_510
18273,REGULAR AIR,2011-09-17,SHP_511
18788,REGULAR AIR,2009-03-10,SHP_512
19042,REGULAR AIR,2009-02-03,SHP_513
19365,REGULAR AIR,2011-01-17,SHP_516
20033,REGULAR AIR,2010-05-23,SHP_519
22656,EXPRESS AIR,2010-12-24,SHP_526
22695,REGULAR AIR,2009-08-07,SHP_527
23076,REGULAR AIR,2009-05-28,SHP_528
24388,DELIVERY TRUCK,2011-01-27,SHP_532
24451,DELIVERY TRUCK,2012-04-12,SHP_533
24806,REGULAR AIR,2010-08-09,SHP_534
25154,REGULAR AIR,2010-08-21,SHP_537
25376,REGULAR AIR,2011-03-27,SHP_541
26791,REGULAR AIR,2011-06-05,SHP_544
28995,REGULAR AIR,2010-05-13,SHP_547
29121,REGULAR AIR,2010-04-13,SHP_548
29445,DELIVERY TRUCK,2010-01-10,SHP_553
30048,DELIVERY TRUCK,2011-06-15,SHP_555
30243,REGULAR AIR,2010-07-05,SHP_556
30372,REGULAR AIR,2010-01-09,SHP_557
30499,REGULAR AIR,2012-01-11,SHP_558
32327,DELIVERY TRUCK,2012-08-14,SHP_561
32676,REGULAR AIR,2009-04-02,SHP_562
32835,REGULAR AIR,2012-09-07,SHP_563
32869,REGULAR AIR,2009-03-28,SHP_564
33763,REGULAR AIR,2010-09-25,SHP_565
34048,REGULAR AIR,2011-03-30,SHP_566
34438,REGULAR AIR,2010-12-12,SHP_568
34880,REGULAR AIR,2009-09-17,SHP_569
34978,REGULAR AIR,2011-06-02,SHP_570
35141,REGULAR AIR,2010-12-09,SHP_571
35558,REGULAR AIR,2009-09-17,SHP_574
36516,REGULAR AIR,2011-07-28,SHP_577
36677,REGULAR AIR,2009-12-25,SHP_578
37185,REGULAR AIR,2012-01-11,SHP_579
37888,REGULAR AIR,2009-12-24,SHP_580
38310,REGULAR AIR,2012-04-17,SHP_581
40327,REGULAR AIR,2011-05-15,SHP_582
41570,REGULAR AIR,2010-05-12,SHP_590
42754,REGULAR AIR,2010-08-25,SHP_595
42944,DELIVERY TRUCK,2012-11-19,SHP_597
44037,REGULAR AIR,2012-06-30,SHP_598
45601,REGULAR AIR,2011-09-28,SHP_602
46756,REGULAR AIR,2009-10-13,SHP_607
47876,REGULAR AIR,2009-12-27,SHP_611
48199,REGULAR AIR,2009-01-21,SHP_614
49029,EXPRESS AIR,2012-05-22,SHP_615
49990,DELIVERY TRUCK,2009-05-09,SHP_619
50081,DELIVERY TRUCK,2009-04-11,SHP_620
50784,REGULAR AIR,2012-11-02,SHP_623
51075,EXPRESS AIR,2010-11-25,SHP_626
51461,REGULAR AIR,2011-12-02,SHP_627
52130,REGULAR AIR,2012-07-09,SHP_630
53410,REGULAR AIR,2009-09-08,SHP_633
53703,REGULAR AIR,2010-06-15,SHP_639
54115,REGULAR AIR,2012-12-01,SHP_640
54437,REGULAR AIR,2010-12-19,SHP_641
54753,REGULAR AIR,2009-04-19,SHP_644
55138,REGULAR AIR,2009-09-25,SHP_645
55271,DELIVERY TRUCK,2011-03-13,SHP_646
55331,REGULAR AIR,2010-12-15,SHP_647
55618,REGULAR AIR,2012-01-22,SHP_648
56803,REGULAR AIR,2009-10-12,SHP_651
57507,REGULAR AIR,2009-06-29,SHP_654
57922,REGULAR AIR,2011-08-02,SHP_655
58117,REGULAR AIR,2011-02-21,SHP_656
58502,DELIVERY TRUCK,2010-02-14,SHP_659
58788,REGULAR AIR,2010-03-02,SHP_660
59074,REGULAR AIR,2010-08-14,SHP_663
59750,REGULAR AIR,2010-07-13,SHP_668
294,REGULAR AIR,2010-07-16,SHP_671
1314,REGULAR AIR,2009-05-14,SHP_676
2465,REGULAR AIR,2011-06-25,SHP_679
2530,REGULAR AIR,2009-03-22,SHP_680
2883,REGULAR AIR,2011-01-24,SHP_681
5988,EXPRESS AIR,2010-11-22,SHP_686
6115,REGULAR AIR,2010-12-09,SHP_687
6434,REGULAR AIR,2009-07-06,SHP_690
7136,REGULAR AIR,2009-03-24,SHP_691
7489,DELIVERY TRUCK,2010-03-10,SHP_692
7968,DELIVERY TRUCK,2010-09-15,SHP_693
8227,EXPRESS AIR,2010-11-01,SHP_694
9123,EXPRESS AIR,2010-06-27,SHP_695
9792,REGULAR AIR,2011-07-23,SHP_696
9860,REGULAR AIR,2010-11-10,SHP_697
11776,EXPRESS AIR,2012-02-24,SHP_708
14535,REGULAR AIR,2010-02-10,SHP_715
15329,EXPRESS AIR,2012-04-27,SHP_716
17826,REGULAR AIR,2012-01-07,SHP_719
17926,REGULAR AIR,2011-12-11,SHP_720
18247,REGULAR AIR,2009-06-11,SHP_721
18471,REGULAR AIR,2009-02-20,SHP_722
19813,REGULAR AIR,2010-03-03,SHP_723
20448,EXPRESS AIR,2011-03-08,SHP_728
21892,REGULAR AIR,2010-06-07,SHP_729
22980,REGULAR AIR,2012-02-10,SHP_730
23907,REGULAR AIR,2011-07-14,SHP_731
24064,DELIVERY TRUCK,2010-07-28,SHP_732
24576,REGULAR AIR,2012-12-13,SHP_737
25475,REGULAR AIR,2009-04-04,SHP_740
27105,REGULAR AIR,2011-02-17,SHP_742
28068,REGULAR AIR,2010-08-28,SHP_743
28839,EXPRESS AIR,2009-04-30,SHP_747
29252,REGULAR AIR,2009-10-08,SHP_748
32418,DELIVERY TRUCK,2009-06-01,SHP_751
34241,REGULAR AIR,2012-08-10,SHP_752
35011,REGULAR AIR,2012-12-12,SHP_755
36068,DELIVERY TRUCK,2009-06-02,SHP_756
36930,REGULAR AIR,2011-09-30,SHP_757
38336,REGULAR AIR,2012-06-10,SHP_763
38565,EXPRESS AIR,2009-03-27,SHP_764
42500,REGULAR AIR,2010-07-02,SHP_767
44162,REGULAR AIR,2010-03-20,SHP_768
44320,REGULAR AIR,2009-04-30,SHP_772
45377,REGULAR AIR,2011-05-04,SHP_773
48388,REGULAR AIR,2009-11-08,SHP_777
49510,REGULAR AIR,2012-03-21,SHP_780
50503,REGULAR AIR,2012-11-23,SHP_784
50816,REGULAR AIR,2009-03-29,SHP_785
51584,DELIVERY TRUCK,2010-10-18,SHP_788
52288,REGULAR AIR,2011-11-08,SHP_791
53572,REGULAR AIR,2010-08-05,SHP_796
53825,REGULAR AIR,2011-11-04,SHP_797
53863,EXPRESS AIR,2010-06-06,SHP_798
58500,REGULAR AIR,2011-02-14,SHP_808
261,REGULAR AIR,2010-06-29,SHP_811
1282,REGULAR AIR,2012-02-29,SHP_814
8390,REGULAR AIR,2012-04-21,SHP_822
9892,REGULAR AIR,2012-07-17,SHP_826
10432,REGULAR AIR,2012-12-01,SHP_831
12806,REGULAR AIR,2011-12-25,SHP_833
13158,REGULAR AIR,2012-11-22,SHP_834
13507,REGULAR AIR,2012-12-30,SHP_835
14375,REGULAR AIR,2010-01-02,SHP_836
14627,REGULAR AIR,2009-05-02,SHP_837
14852,EXPRESS AIR,2011-12-24,SHP_838
19074,DELIVERY TRUCK,2012-06-27,SHP_843
20194,REGULAR AIR,2012-03-15,SHP_844
21024,REGULAR AIR,2010-12-30,SHP_845
21509,REGULAR AIR,2012-05-07,SHP_846
22119,REGULAR AIR,2009-07-29,SHP_849
22534,REGULAR AIR,2011-07-20,SHP_850
22629,REGULAR AIR,2010-04-20,SHP_851
23011,REGULAR AIR,2010-06-22,SHP_852
26373,REGULAR AIR,2010-07-25,SHP_857
27174,REGULAR AIR,2011-10-10,SHP_860
27876,REGULAR AIR,2010-09-14,SHP_861
28868,REGULAR AIR,2012-06-04,SHP_864
29857,DELIVERY TRUCK,2009-12-14,SHP_865
29921,REGULAR AIR,2012-03-25,SHP_866
30659,REGULAR AIR,2011-09-15,SHP_867
30660,REGULAR AIR,2012-08-09,SHP_868
30883,REGULAR AIR,2010-08-22,SHP_869
33600,REGULAR AIR,2010-08-10,SHP_871
33632,REGULAR AIR,2010-03-14,SHP_872
33665,DELIVERY TRUCK,2011-05-30,SHP_873
34753,REGULAR AIR,2010-01-20,SHP_876
37063,REGULAR AIR,2012-10-12,SHP_882
37281,REGULAR AIR,2009-08-29,SHP_883
37798,DELIVERY TRUCK,2012-04-11,SHP_884
38272,REGULAR AIR,2011-11-17,SHP_887
39655,REGULAR AIR,2012-03-23,SHP_891
40806,REGULAR AIR,2011-07-09,SHP_894
43523,REGULAR AIR,2012-05-25,SHP_895
44199,REGULAR AIR,2012-08-03,SHP_896
45573,DELIVERY TRUCK,2009-08-14,SHP_900
45763,REGULAR AIR,2010-08-07,SHP_901
48165,REGULAR AIR,2010-07-11,SHP_902
48197,REGULAR AIR,2012-07-05,SHP_903
49153,DELIVERY TRUCK,2012-07-28,SHP_907
49412,DELIVERY TRUCK,2009-07-03,SHP_908
49761,REGULAR AIR,2011-01-25,SHP_909
51072,REGULAR AIR,2009-04-10,SHP_913
52035,REGULAR AIR,2009-11-30,SHP_916
52326,REGULAR AIR,2010-08-08,SHP_917
52737,EXPRESS AIR,2010-09-11,SHP_918
53216,REGULAR AIR,2012-07-12,SHP_919
54081,REGULAR AIR,2011-12-03,SHP_920
55170,EXPRESS AIR,2012-09-23,SHP_925
56001,EXPRESS AIR,2010-04-16,SHP_928
56640,REGULAR AIR,2011-08-26,SHP_929
59393,REGULAR AIR,2010-11-21,SHP_930
59712,EXPRESS AIR,2010-06-17,SHP_931
322,REGULAR AIR,2012-03-20,SHP_934
2720,EXPRESS AIR,2010-10-06,SHP_943
3685,REGULAR AIR,2012-01-17,SHP_944
3687,REGULAR AIR,2010-02-02,SHP_945
4067,REGULAR AIR,2012-08-10,SHP_947
4257,REGULAR AIR,2011-03-26,SHP_948
4294,REGULAR AIR,2012-08-16,SHP_951
4864,REGULAR AIR,2012-11-14,SHP_954
4996,REGULAR AIR,2012-09-14,SHP_955
5121,REGULAR AIR,2012-11-05,SHP_956
5473,REGULAR AIR,2012-03-26,SHP_959
5698,REGULAR AIR,2009-05-21,SHP_960
7169,REGULAR AIR,2010-03-28,SHP_965
8290,REGULAR AIR,2009-11-12,SHP_970
8515,REGULAR AIR,2010-12-22,SHP_971
9409,REGULAR AIR,2012-07-05,SHP_976
10306,REGULAR AIR,2010-07-21,SHP_977
10819,REGULAR AIR,2010-08-24,SHP_979
10916,REGULAR AIR,2011-10-03,SHP_980
10944,REGULAR AIR,2011-11-14,SHP_981
11301,REGULAR AIR,2012-03-22,SHP_982
11392,REGULAR AIR,2009-07-09,SHP_985
11745,REGULAR AIR,2012-07-20,SHP_986
11875,REGULAR AIR,2012-08-21,SHP_987
11907,DELIVERY TRUCK,2010-08-23,SHP_988
12129,DELIVERY TRUCK,2012-12-28,SHP_989
12579,REGULAR AIR,2011-06-16,SHP_990
12743,REGULAR AIR,2010-06-25,SHP_991
13380,REGULAR AIR,2009-07-15,SHP_993
13606,REGULAR AIR,2009-04-28,SHP_994
13889,DELIVERY TRUCK,2011-05-09,SHP_995
13984,REGULAR AIR,2012-09-24,SHP_996
13986,REGULAR AIR,2011-10-14,SHP_997
14240,REGULAR AIR,2012-02-18,SHP_998
14276,REGULAR AIR,2009-06-19,SHP_999
14948,DELIVERY TRUCK,2011-05-29,SHP_1004
16257,REGULAR AIR,2012-06-05,SHP_1007
17344,REGULAR AIR,2010-07-21,SHP_1010
17382,REGULAR AIR,2011-05-07,SHP_1011
19462,REGULAR AIR,2011-09-21,SHP_1022
19936,REGULAR AIR,2012-11-14,SHP_1023
19972,REGULAR AIR,2012-06-18,SHP_1024
20038,REGULAR AIR,2010-02-28,SHP_1025
20676,REGULAR AIR,2012-11-26,SHP_1030
20838,REGULAR AIR,2009-11-04,SHP_1032
20960,REGULAR AIR,2011-11-23,SHP_1033
20961,REGULAR AIR,2010-01-16,SHP_1034
21350,REGULAR AIR,2011-02-25,SHP_1035
21572,REGULAR AIR,2009-02-15,SHP_1036
21671,REGULAR AIR,2010-06-18,SHP_1037
23207,REGULAR AIR,2010-10-23,SHP_1040
24833,DELIVERY TRUCK,2010-07-18,SHP_1047
25633,DELIVERY TRUCK,2011-06-08,SHP_1052
26368,REGULAR AIR,2010-07-17,SHP_1060
26372,REGULAR AIR,2009-07-16,SHP_1061
26851,REGULAR AIR,2011-07-26,SHP_1064
27781,REGULAR AIR,2011-09-17,SHP_1071
28898,REGULAR AIR,2011-05-28,SHP_1076
28901,REGULAR AIR,2012-12-06,SHP_1077
29408,DELIVERY TRUCK,2010-03-05,SHP_1080
29986,REGULAR AIR,2011-03-07,SHP_1082
30147,REGULAR AIR,2012-06-19,SHP_1083
30310,REGULAR AIR,2012-04-28,SHP_1087
31426,REGULAR AIR,2009-09-08,SHP_1088
32582,EXPRESS AIR,2009-06-26,SHP_1095
32901,REGULAR AIR,2011-11-01,SHP_1100
33284,REGULAR AIR,2012-02-04,SHP_1101
33287,DELIVERY TRUCK,2011-04-25,SHP_1102
33732,REGULAR AIR,2009-08-29,SHP_1103
34435,REGULAR AIR,2009-07-08,SHP_1104
34852,REGULAR AIR,2012-09-09,SHP_1105
35649,REGULAR AIR,2011-11-10,SHP_1106
36480,REGULAR AIR,2010-08-23,SHP_1107
36834,DELIVERY TRUCK,2009-12-26,SHP_1112
37410,DELIVERY TRUCK,2010-10-14,SHP_1113
37729,REGULAR AIR,2009-01-15,SHP_1114
37988,REGULAR AIR,2011-05-04,SHP_1115
38690,REGULAR AIR,2012-01-24,SHP_1116
38758,REGULAR AIR,2011-09-26,SHP_1117
39332,EXPRESS AIR,2011-10-10,SHP_1118
39745,DELIVERY TRUCK,2011-05-05,SHP_1119
40164,REGULAR AIR,2010-12-04,SHP_1123
40801,REGULAR AIR,2012-01-07,SHP_1126
41286,REGULAR AIR,2012-09-17,SHP_1128
41412,REGULAR AIR,2009-09-19,SHP_1129
41633,DELIVERY TRUCK,2010-09-11,SHP_1131
41895,REGULAR AIR,2011-12-01,SHP_1132
42112,REGULAR AIR,2010-12-26,SHP_1133
42339,REGULAR AIR,2009-12-02,SHP_1136
42947,REGULAR AIR,2010-08-28,SHP_1138
43079,REGULAR AIR,2009-07-22,SHP_1139
43111,REGULAR AIR,2011-09-13,SHP_1140
43140,REGULAR AIR,2009-03-20,SHP_1141
44098,REGULAR AIR,2010-01-31,SHP_1142
45317,REGULAR AIR,2012-08-03,SHP_1148
46849,REGULAR AIR,2010-12-14,SHP_1151
47527,DELIVERY TRUCK,2010-09-18,SHP_1158
47713,REGULAR AIR,2009-03-07,SHP_1159
49223,REGULAR AIR,2011-02-10,SHP_1168
50208,EXPRESS AIR,2011-01-23,SHP_1171
50338,REGULAR AIR,2009-03-25,SHP_1172
50945,REGULAR AIR,2011-09-01,SHP_1173
51462,EXPRESS AIR,2011-06-24,SHP_1174
51494,REGULAR AIR,2011-05-08,SHP_1175
