Order_ID,Order_Date,Order_Priority,Ord_id
28003,2011-03-19,CRITICAL,Ord_173
28035,2011-08-05,NOT SPECIFIED,Ord_174
28135,2009-09-25,CRITICAL,Ord_175
28165,2012-09-07,NOT SPECIFIED,Ord_176
28289,2010-01-14,HIGH,Ord_177
28486,2009-08-26,HIGH,Ord_178
28675,2009-08-10,CRITICAL,Ord_179
28870,2011-10-11,HIGH,Ord_180
28871,2012-04-15,HIGH,Ord_181
29030,2012-02-01,MEDIUM,Ord_182
29095,2011-08-03,NOT SPECIFIED,Ord_183
29287,2009-02-07,HIGH,Ord_184
29510,2011-04-15,CRITICAL,Ord_185
29795,2011-11-25,HIGH,Ord_186
29861,2012-04-25,CRITICAL,Ord_187
30658,2011-03-26,MEDIUM,Ord_188
30947,2010-07-14,LOW,Ord_189
31077,2010-10-23,NOT SPECIFIED,Ord_190
31111,2009-08-24,NOT SPECIFIED,Ord_191
31169,2011-09-06,LOW,Ord_192
31270,2012-11-23,MEDIUM,Ord_193
31364,2009-01-05,NOT SPECIFIED,Ord_194
31393,2012-11-05,CRITICAL,Ord_195
31492,2010-10-15,CRITICAL,Ord_196
31558,2011-07-23,LOW,Ord_197
31618,2011-11-07,CRITICAL,Ord_198
31684,2012-09-16,CRITICAL,Ord_199
31781,2009-01-16,MEDIUM,Ord_200
32193,2010-10-20,LOW,Ord_201
32229,2010-08-30,HIGH,Ord_202
32743,2010-07-05,CRITICAL,Ord_203
33123,2010-11-24,MEDIUM,Ord_205
33159,2012-04-27,MEDIUM,Ord_206
33186,2012-08-28,LOW,Ord_207
33377,2011-07-31,HIGH,Ord_208
33444,2012-06-10,MEDIUM,Ord_209
33703,2010-06-02,NOT SPECIFIED,Ord_210
33734,2011-10-17,NOT SPECIFIED,Ord_211
33888,2009-08-20,NOT SPECIFIED,Ord_212
33894,2010-06-14,CRITICAL,Ord_213
33922,2010-02-27,NOT SPECIFIED,Ord_214
34177,2009-08-15,HIGH,Ord_215
34215,2011-05-14,HIGH,Ord_216
34246,2010-07-10,CRITICAL,Ord_217
34631,2009-10-23,NOT SPECIFIED,Ord_218
35047,2010-09-06,MEDIUM,Ord_219
35266,2011-10-01,NOT SPECIFIED,Ord_220
35847,2009-01-30,CRITICAL,Ord_221
36001,2011-03-28,LOW,Ord_222
36134,2010-11-22,LOW,Ord_223
36135,2011-05-30,NOT SPECIFIED,Ord_224
36644,2012-05-13,HIGH,Ord_225
36646,2010-08-06,MEDIUM,Ord_226
36707,2009-11-29,MEDIUM,Ord_227
37253,2012-01-09,HIGH,Ord_228
37541,2010-02-26,MEDIUM,Ord_229
37634,2012-05-21,MEDIUM,Ord_230
37793,2009-08-11,NOT SPECIFIED,Ord_231
37860,2010-08-27,MEDIUM,Ord_232
38884,2012-08-17,HIGH,Ord_233
39364,2012-09-11,HIGH,Ord_234
39457,2011-02-06,CRITICAL,Ord_235
39683,2011-10-08,HIGH,Ord_236
39846,2009-02-27,LOW,Ord_237
40036,2010-07-06,NOT SPECIFIED,Ord_238
40067,2012-02-17,LOW,Ord_239
40132,2012-02-23,LOW,Ord_240
40160,2009-10-15,CRITICAL,Ord_241
40518,2009-03-13,CRITICAL,Ord_242
40804,2010-12-03,MEDIUM,Ord_243
40902,2009-07-07,LOW,Ord_244
41063,2012-11-21,LOW,Ord_245
41153,2009-02-03,MEDIUM,Ord_246
41184,2011-09-22,HIGH,Ord_247
41409,2011-07-21,NOT SPECIFIED,Ord_248
41696,2009-07-13,NOT SPECIFIED,Ord_249
42209,2010-03-29,HIGH,Ord_250
42561,2010-06-02,LOW,Ord_251
42564,2012-12-09,LOW,Ord_252
42695,2010-12-22,NOT SPECIFIED,Ord_253
42981,2009-05-30,CRITICAL,Ord_254
43109,2012-12-21,CRITICAL,Ord_255
43203,2012-02-14,NOT SPECIFIED,Ord_256
43236,2010-03-07,NOT SPECIFIED,Ord_257
43267,2011-05-16,CRITICAL,Ord_258
43329,2010-07-03,MEDIUM,Ord_259
43330,2009-04-27,NOT SPECIFIED,Ord_260
43364,2012-07-04,HIGH,Ord_261
43392,2010-12-31,MEDIUM,Ord_262
43781,2010-02-02,NOT SPECIFIED,Ord_263
44071,2012-04-15,NOT SPECIFIED,Ord_264
44519,2010-05-19,HIGH,Ord_265
44708,2009-07-27,NOT SPECIFIED,Ord_266
44772,2009-03-31,NOT SPECIFIED,Ord_267
44839,2012-11-06,CRITICAL,Ord_268
45217,2010-01-09,NOT SPECIFIED,Ord_269
45440,2012-09-08,CRITICAL,Ord_270
45766,2010-07-05,HIGH,Ord_271
45861,2011-08-25,MEDIUM,Ord_272
45957,2010-09-21,CRITICAL,Ord_273
46912,2012-06-30,LOW,Ord_274
46980,2011-01-17,CRITICAL,Ord_275
47460,2010-10-10,CRITICAL,Ord_276
47462,2011-09-06,HIGH,Ord_277
47620,2012-06-26,LOW,Ord_278
47749,2010-03-16,MEDIUM,Ord_279
47873,2010-11-13,CRITICAL,Ord_280
47943,2009-11-14,MEDIUM,Ord_281
48101,2011-12-09,HIGH,Ord_282
48295,2009-11-23,MEDIUM,Ord_283
48839,2010-10-07,CRITICAL,Ord_284
49154,2009-06-03,MEDIUM,Ord_285
49921,2011-02-17,LOW,Ord_286
49952,2011-11-19,HIGH,Ord_287
50117,2011-03-06,CRITICAL,Ord_288
50278,2010-05-25,HIGH,Ord_289
50374,2009-05-30,NOT SPECIFIED,Ord_290
50565,2012-08-30,HIGH,Ord_291
50688,2011-12-16,CRITICAL,Ord_292
50754,2009-09-12,NOT SPECIFIED,Ord_293
50914,2012-03-07,CRITICAL,Ord_294
51169,2010-12-24,HIGH,Ord_295
51938,2011-05-17,LOW,Ord_296
51970,2012-11-01,NOT SPECIFIED,Ord_297
51971,2011-03-10,NOT SPECIFIED,Ord_298
52193,2010-05-03,NOT SPECIFIED,Ord_299
52321,2011-05-11,HIGH,Ord_300
52386,2009-05-01,HIGH,Ord_301
52807,2010-11-25,MEDIUM,Ord_302
52929,2011-08-04,HIGH,Ord_303
52964,2010-03-31,CRITICAL,Ord_304
53156,2012-10-03,NOT SPECIFIED,Ord_305
53511,2009-02-20,MEDIUM,Ord_306
53797,2009-01-10,CRITICAL,Ord_307
53990,2012-01-11,NOT SPECIFIED,Ord_308
54083,2011-07-21,HIGH,Ord_309
54274,2010-11-23,NOT SPECIFIED,Ord_310
54276,2010-06-02,NOT SPECIFIED,Ord_311
54528,2011-04-01,MEDIUM,Ord_312
54567,2009-02-08,MEDIUM,Ord_313
54628,2010-05-06,HIGH,Ord_314
55298,2009-02-08,CRITICAL,Ord_315
55363,2010-12-28,HIGH,Ord_316
55366,2012-10-10,CRITICAL,Ord_317
55715,2011-02-04,CRITICAL,Ord_318
55875,2009-11-25,CRITICAL,Ord_319
56453,2012-11-04,CRITICAL,Ord_320
57127,2010-02-16,LOW,Ord_321
57344,2010-09-24,HIGH,Ord_322
57509,2009-02-21,LOW,Ord_323
57600,2012-11-11,CRITICAL,Ord_324
58055,2011-10-27,CRITICAL,Ord_325
58144,2009-12-16,LOW,Ord_326
58150,2010-07-05,CRITICAL,Ord_327
58340,2011-08-01,MEDIUM,Ord_328
58368,2012-09-07,HIGH,Ord_329
58434,2009-09-03,HIGH,Ord_330
58626,2011-12-30,HIGH,Ord_331
58688,2009-03-29,NOT SPECIFIED,Ord_332
59045,2011-02-13,CRITICAL,Ord_333
59047,2011-01-28,NOT SPECIFIED,Ord_334
59202,2012-08-09,MEDIUM,Ord_335
59207,2009-05-18,CRITICAL,Ord_336
59234,2012-07-29,LOW,Ord_337
59395,2012-04-22,CRITICAL,Ord_338
59558,2012-07-16,NOT SPECIFIED,Ord_339
59585,2012-09-22,HIGH,Ord_340
59651,2010-05-20,CRITICAL,Ord_341
645,2009-02-12,HIGH,Ord_342
769,2010-01-06,MEDIUM,Ord_343
773,2010-09-25,MEDIUM,Ord_344
1187,2012-11-19,MEDIUM,Ord_345
2339,2010-12-14,LOW,Ord_346
3521,2012-10-25,LOW,Ord_347
4007,2010-06-17,HIGH,Ord_348
4416,2012-06-29,LOW,Ord_349
4454,2009-01-02,LOW,Ord_350
5153,2011-08-25,CRITICAL,Ord_351
5446,2009-06-20,LOW,Ord_352
8131,2010-03-05,CRITICAL,Ord_353
8994,2009-07-04,LOW,Ord_354
9027,2011-02-09,LOW,Ord_355
9216,2011-04-14,MEDIUM,Ord_356
9537,2011-02-13,NOT SPECIFIED,Ord_357
9574,2011-07-30,MEDIUM,Ord_358
10435,2010-10-08,MEDIUM,Ord_359
10851,2009-06-04,HIGH,Ord_360
10852,2010-10-26,HIGH,Ord_361
11269,2012-05-26,LOW,Ord_362
11362,2012-10-09,LOW,Ord_363
11968,2011-03-16,LOW,Ord_364
12293,2011-06-18,HIGH,Ord_365
12773,2011-11-01,LOW,Ord_366
12934,2009-05-03,NOT SPECIFIED,Ord_367
13120,2009-12-14,LOW,Ord_368
13604,2009-02-02,NOT SPECIFIED,Ord_369
13927,2009-08-26,LOW,Ord_370
15044,2012-06-03,LOW,Ord_371
15139,2009-11-19,HIGH,Ord_372
15463,2010-07-24,LOW,Ord_373
15618,2010-04-08,MEDIUM,Ord_374
16100,2011-07-03,MEDIUM,Ord_375
16320,2011-10-20,NOT SPECIFIED,Ord_376
16419,2009-04-08,NOT SPECIFIED,Ord_377
17090,2010-04-28,LOW,Ord_378
17315,2009-04-22,LOW,Ord_379
17376,2011-04-12,HIGH,Ord_380
18210,2010-06-08,NOT SPECIFIED,Ord_381
18273,2011-09-15,LOW,Ord_382
18788,2009-02-10,NOT SPECIFIED,Ord_383
19042,2009-01-03,CRITICAL,Ord_384
19073,2009-06-24,NOT SPECIFIED,Ord_385
19365,2011-01-16,MEDIUM,Ord_386
19617,2012-01-20,LOW,Ord_387
20033,2010-05-21,CRITICAL,Ord_388
21223,2012-03-15,NOT SPECIFIED,Ord_389
21378,2011-07-08,MEDIUM,Ord_390
21542,2011-05-21,HIGH,Ord_391
22656,2010-12-22,NOT SPECIFIED,Ord_392
22695,2009-03-07,LOW,Ord_393
23076,2009-05-27,CRITICAL,Ord_394
24067,2012-08-22,HIGH,Ord_395
24388,2011-01-26,CRITICAL,Ord_396
24451,2012-03-12,CRITICAL,Ord_397
24806,2010-06-09,NOT SPECIFIED,Ord_398
24965,2011-03-29,LOW,Ord_399
25154,2010-08-20,HIGH,Ord_400
25315,2010-02-12,LOW,Ord_401
25376,2011-03-26,CRITICAL,Ord_402
26240,2009-12-19,CRITICAL,Ord_403
26791,2011-04-29,LOW,Ord_404
28836,2010-10-24,HIGH,Ord_405
28995,2010-12-05,HIGH,Ord_406
29121,2010-11-04,MEDIUM,Ord_407
29319,2009-01-24,LOW,Ord_408
29382,2010-11-17,HIGH,Ord_409
29445,2010-09-29,HIGH,Ord_410
29762,2010-03-08,CRITICAL,Ord_411
30048,2011-06-13,MEDIUM,Ord_412
30243,2010-05-05,CRITICAL,Ord_413
30372,2010-08-30,HIGH,Ord_414
30499,2012-10-30,HIGH,Ord_415
32199,2009-07-15,HIGH,Ord_416
32327,2012-07-08,LOW,Ord_417
32676,2009-01-02,CRITICAL,Ord_418
32835,2012-07-07,MEDIUM,Ord_419
32869,2009-03-27,MEDIUM,Ord_420
33763,2010-09-23,NOT SPECIFIED,Ord_421
34048,2011-03-28,LOW,Ord_422
34275,2009-01-07,LOW,Ord_423
34438,2010-11-12,HIGH,Ord_424
34880,2009-09-16,HIGH,Ord_425
34978,2011-04-02,HIGH,Ord_426
35141,2010-11-09,MEDIUM,Ord_427
35300,2010-02-03,MEDIUM,Ord_428
35558,2009-09-15,CRITICAL,Ord_429
36293,2010-12-30,MEDIUM,Ord_430
36516,2011-07-25,MEDIUM,Ord_431
36677,2009-12-23,LOW,Ord_432
37185,2012-10-31,HIGH,Ord_433
37888,2009-12-22,CRITICAL,Ord_434
38310,2012-04-14,HIGH,Ord_435
40327,2011-05-13,MEDIUM,Ord_436
40480,2011-07-12,CRITICAL,Ord_437
40800,2010-04-12,NOT SPECIFIED,Ord_438
40835,2009-11-24,HIGH,Ord_439
40871,2011-09-13,NOT SPECIFIED,Ord_440
41570,2010-03-12,NOT SPECIFIED,Ord_441
41991,2011-12-18,LOW,Ord_442
42400,2012-09-08,LOW,Ord_443
42754,2010-08-24,CRITICAL,Ord_444
42918,2011-05-22,HIGH,Ord_445
42944,2012-11-18,CRITICAL,Ord_446
44037,2012-06-28,HIGH,Ord_447
44387,2009-04-02,LOW,Ord_448
44576,2009-12-25,NOT SPECIFIED,Ord_449
45601,2011-09-26,HIGH,Ord_450
45606,2011-09-22,MEDIUM,Ord_451
46119,2009-02-15,CRITICAL,Ord_452
46756,2009-11-10,MEDIUM,Ord_453
47714,2011-10-03,MEDIUM,Ord_454
47846,2012-11-08,HIGH,Ord_455
47876,2009-12-25,HIGH,Ord_456
48067,2012-06-29,LOW,Ord_457
48199,2009-01-18,NOT SPECIFIED,Ord_458
49029,2012-05-20,HIGH,Ord_459
49216,2009-03-19,HIGH,Ord_460
49990,2009-05-09,NOT SPECIFIED,Ord_461
50081,2009-03-11,NOT SPECIFIED,Ord_462
50404,2011-03-26,HIGH,Ord_463
50784,2012-10-02,HIGH,Ord_464
50850,2009-06-05,CRITICAL,Ord_465
51075,2010-11-23,NOT SPECIFIED,Ord_466
51461,2011-10-02,NOT SPECIFIED,Ord_467
51558,2010-03-29,NOT SPECIFIED,Ord_468
52130,2012-05-09,LOW,Ord_469
52482,2011-01-31,CRITICAL,Ord_470
53410,2009-07-08,CRITICAL,Ord_471
53477,2012-05-05,HIGH,Ord_472
53508,2009-10-11,HIGH,Ord_473
53703,2010-06-14,NOT SPECIFIED,Ord_474
54115,2012-07-01,LOW,Ord_475
54437,2010-12-19,HIGH,Ord_476
54501,2012-11-29,CRITICAL,Ord_477
54753,2009-04-18,MEDIUM,Ord_478
55138,2009-09-24,HIGH,Ord_479
55271,2011-11-03,MEDIUM,Ord_480
55331,2010-12-13,HIGH,Ord_481
55618,2012-01-21,MEDIUM,Ord_482
56645,2012-06-01,LOW,Ord_483
56803,2009-10-12,NOT SPECIFIED,Ord_484
57159,2010-12-02,CRITICAL,Ord_485
57507,2009-06-26,CRITICAL,Ord_486
57922,2011-08-02,CRITICAL,Ord_487
58117,2011-02-20,CRITICAL,Ord_488
58278,2012-10-09,HIGH,Ord_489
58502,2010-12-02,CRITICAL,Ord_490
58788,2010-01-02,LOW,Ord_491
58947,2011-09-26,NOT SPECIFIED,Ord_492
59074,2010-12-08,LOW,Ord_493
59233,2010-08-20,HIGH,Ord_494
59425,2012-05-17,MEDIUM,Ord_495
59750,2010-09-07,LOW,Ord_496
35,2011-10-22,NOT SPECIFIED,Ord_497
294,2010-07-15,MEDIUM,Ord_498
450,2011-04-03,NOT SPECIFIED,Ord_499
1028,2009-05-01,HIGH,Ord_500
1314,2009-12-05,MEDIUM,Ord_501
2279,2010-02-22,MEDIUM,Ord_502
2465,2011-06-23,CRITICAL,Ord_503
2530,2009-03-20,MEDIUM,Ord_504
2883,2011-01-22,LOW,Ord_505
3362,2011-07-28,LOW,Ord_506
5318,2010-03-04,HIGH,Ord_507
5988,2010-11-21,NOT SPECIFIED,Ord_508
6115,2010-11-09,MEDIUM,Ord_509
6337,2011-08-31,NOT SPECIFIED,Ord_510
6434,2009-07-06,HIGH,Ord_511
7136,2009-03-22,HIGH,Ord_512
7489,2010-09-30,CRITICAL,Ord_513
7968,2010-09-15,LOW,Ord_514
8227,2010-10-01,NOT SPECIFIED,Ord_515
9123,2010-06-26,CRITICAL,Ord_516
9792,2011-07-23,LOW,Ord_517
9860,2010-10-10,CRITICAL,Ord_518
10310,2009-05-02,LOW,Ord_519
10369,2011-09-11,LOW,Ord_520
10692,2009-07-26,LOW,Ord_521
11553,2009-04-18,MEDIUM,Ord_522
11776,2012-02-24,LOW,Ord_523
11782,2012-07-28,LOW,Ord_524
12199,2011-12-14,LOW,Ord_525
14275,2010-06-13,LOW,Ord_526
14535,2010-01-10,NOT SPECIFIED,Ord_527
15329,2012-04-27,HIGH,Ord_528
15621,2011-09-24,CRITICAL,Ord_529
17826,2012-06-30,HIGH,Ord_530
17926,2011-10-11,CRITICAL,Ord_531
18247,2009-05-11,NOT SPECIFIED,Ord_532
18471,2009-02-19,NOT SPECIFIED,Ord_533
19813,2010-02-03,CRITICAL,Ord_534
20322,2009-06-28,CRITICAL,Ord_535
20422,2009-01-26,HIGH,Ord_536
20448,2011-02-08,CRITICAL,Ord_537
21892,2010-04-07,HIGH,Ord_538
22980,2012-01-10,NOT SPECIFIED,Ord_539
23907,2011-07-14,NOT SPECIFIED,Ord_540
24064,2010-07-25,MEDIUM,Ord_541
24132,2009-06-07,LOW,Ord_542
24576,2012-11-12,NOT SPECIFIED,Ord_543
25248,2011-01-12,MEDIUM,Ord_544
25475,2009-04-04,CRITICAL,Ord_545
26978,2010-06-25,MEDIUM,Ord_546
27105,2011-02-16,NOT SPECIFIED,Ord_547
28068,2010-08-26,LOW,Ord_548
28802,2010-04-11,HIGH,Ord_549
28839,2009-04-28,LOW,Ord_550
29252,2009-06-08,LOW,Ord_551
31941,2009-03-18,MEDIUM,Ord_552
32418,2009-05-01,NOT SPECIFIED,Ord_553
34241,2012-08-10,LOW,Ord_554
34816,2010-05-11,NOT SPECIFIED,Ord_555
35011,2012-10-12,NOT SPECIFIED,Ord_556
36068,2009-05-02,CRITICAL,Ord_557
36930,2011-09-28,MEDIUM,Ord_558
37315,2012-05-06,LOW,Ord_559
37925,2010-09-26,MEDIUM,Ord_560
38021,2009-01-21,MEDIUM,Ord_561
38336,2012-05-10,CRITICAL,Ord_562
38565,2009-03-25,CRITICAL,Ord_563
39783,2012-09-20,NOT SPECIFIED,Ord_564
42500,2010-05-02,NOT SPECIFIED,Ord_565
44162,2010-03-19,HIGH,Ord_566
44256,2011-11-19,LOW,Ord_567
44320,2009-04-29,MEDIUM,Ord_568
45377,2011-03-04,LOW,Ord_569
47367,2011-04-16,MEDIUM,Ord_570
47750,2010-06-15,LOW,Ord_571
48388,2009-09-08,HIGH,Ord_572
49059,2009-09-20,MEDIUM,Ord_573
49510,2012-03-20,CRITICAL,Ord_574
49634,2012-03-23,NOT SPECIFIED,Ord_575
50210,2010-07-19,LOW,Ord_576
50503,2012-11-21,MEDIUM,Ord_577
50816,2009-03-27,HIGH,Ord_578
51073,2010-05-14,NOT SPECIFIED,Ord_579
51584,2010-10-17,CRITICAL,Ord_580
51879,2010-08-24,NOT SPECIFIED,Ord_581
52288,2011-10-08,HIGH,Ord_582
53190,2009-09-24,MEDIUM,Ord_583
53536,2012-10-30,HIGH,Ord_584
53572,2010-07-05,MEDIUM,Ord_585
53825,2011-09-04,LOW,Ord_586
53863,2010-03-06,HIGH,Ord_587
54119,2010-05-22,MEDIUM,Ord_588
56224,2012-10-25,MEDIUM,Ord_589
56293,2010-05-01,NOT SPECIFIED,Ord_590
57959,2011-12-30,MEDIUM,Ord_591
58500,2011-02-14,LOW,Ord_592
59584,2010-05-28,MEDIUM,Ord_593
261,2010-06-28,MEDIUM,Ord_594
928,2011-01-03,LOW,Ord_595
1282,2012-02-27,NOT SPECIFIED,Ord_596
1856,2012-03-19,NOT SPECIFIED,Ord_597
1925,2012-04-03,CRITICAL,Ord_598
2848,2012-09-03,CRITICAL,Ord_599
5504,2010-05-01,HIGH,Ord_600
8390,2012-04-21,MEDIUM,Ord_601
8545,2009-06-17,LOW,Ord_602
9573,2012-06-13,MEDIUM,Ord_603
9892,2012-07-16,MEDIUM,Ord_604
10048,2009-05-15,NOT SPECIFIED,Ord_605
10144,2011-02-01,CRITICAL,Ord_606
10432,2012-05-01,LOW,Ord_607
10661,2009-01-23,NOT SPECIFIED,Ord_608
12806,2011-12-24,NOT SPECIFIED,Ord_609
13158,2012-11-20,CRITICAL,Ord_610
13507,2012-12-29,MEDIUM,Ord_611
14375,2010-01-31,MEDIUM,Ord_612
14627,2009-04-02,MEDIUM,Ord_613
14852,2011-12-24,MEDIUM,Ord_614
16230,2010-02-27,LOW,Ord_615
